AggregationMethod,Date,Version,AirportName,PercentOfBaseline,lon,lat,City,State,ISO_3166_2,Country
Daily,2020-07-01,1.0,Kingsford Smith,62,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-17,1.0,Kingsford Smith,17,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-30,1.0,Kingsford Smith,30,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-20,1.0,Kingsford Smith,26,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-03,1.0,Kingsford Smith,12,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-29,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-20,1.0,Kingsford Smith,13,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-04,1.0,Kingsford Smith,15,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-26,1.0,Kingsford Smith,18,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-20,1.0,Kingsford Smith,61,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-21,1.0,Kingsford Smith,15,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-06-03,1.0,Kingsford Smith,61,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-09,1.0,Kingsford Smith,54,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-07,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-04-14,1.0,Kingsford Smith,59,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-22,1.0,Kingsford Smith,27,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-06,1.0,Kingsford Smith,22,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-07-09,1.0,Kingsford Smith,55,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-08-25,1.0,Kingsford Smith,12,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-05-09,1.0,Kingsford Smith,19,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-10-05,1.0,Kingsford Smith,10,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
Daily,2020-09-24,1.0,Kingsford Smith,15,151.180087713813, -33.9459774986125,Sydney,New South Wales,AU,Australia
